Koning-Boudewijnlaan,6,9080,LOCHRISTI,
Kerkplein,3,9160,LOKEREN,
Michiel Jansplein,1,3920,LOMMEL,
Molenstraat,5,1840,LONDERZEEL,
Dorp,28,9920,LOVENDEGEM,
Binkomstraat,12,3210,LUBBEEK,
Groenstraat,42,3560,LUMMEN,
NEDERHOLBEEKSTRAAT,1,9680,ETIKHOVE,
Bleumerstraat,68,3680,MAASEIK,
Deken Bernardstraat,5,3630,MECHELEN-AAN-DE-MAAS,
Vilvoordelaan,43,1830,MACHELEN,
Schouwburgplaats,3- 5,9990,MALDEGEM,
Sint Jozeflei,26,2390,WESTMALLE,
Moensstraat,19,2800,MECHELEN,
Gasthuisstraat,29,2450,MEERHOUT,
Dorpsstraat,46,3670,MEEUWEN,
Brusselsesteenweg,44,1860,MEISE,
Kruisstraat,2A,9090,MELLE,
Waalvest,1,8930,MENEN,
Dendermondestraat,31,1785,MERCHTEM,
Dijsegem,1,9820,MERELBEKE,
MARKT,1,2330,MERKSPLAS,
Markt,1,8957,MESEN,
Karel van Manderstraat,26,8760,MEULEBEKE,
Populierenlaan,16,8430,MIDDELKERKE,
Statiestraat ,4,9180,MOERBEKE,
MOLENHOEKSTRAAT,2,2400,MOL,
Iepersestraat,52 A,8890,MOORSLEDE,
Eggestraat,32-34,2640,MORTSEL,
Dorp,2,9810,NAZARETH,
Norbertinessenlaan,9,3910,NEERPELT,
Stationsstraat,20,9850,LANDEGEM,
Antwerpsestraat,24,2845,NIEL,
Kokstraat,18A,8620,NIEUWPOORT,
Broechemsesteenweg (St.Pauluskerk),221,2560,NIJLEN,
Graanmarkt,12,9400,NINOVE,
Oevelseweg,24,2250,OLEN,
Wellingtonstraat,7,8400,OOSTENDE,
Stationsstraat,13,9860,SCHELDEWINDEKE,
KAPELLESTRAAT,19,8020,OOSTKAMP,
Ernest Brengierstraat,12,8780,OOSTROZEBEKE,
Kapelstraat,10,3660,OPGLABBEEK,
Kloosterstraat,7,1745,OPWIJK,
Armand Verheydenstraat,10,3053,HAASRODE,
Sint-Bavostraat,3,2360,OUD-TURNHOUT,
Markt,35,9700,OUDENAARDE,
Hoogstraat,17,8460,OUDENBURG,
Waversesteenweg,1688,1160,OUDERGEM,
Begijnhof,13,3090,OVERIJSE,
Jeugdlaan,2A,3900,OVERPELT,
ZUIDERVEST,2,3990,PEER,
Trapstraat,4,1674,BELLINGEN,
Broeders Maristenstraat,2,8740,PITTEM,
Veurnestraat,71,8970,POPERINGE,
Gemeenteplein,1,2580,PUTTE,
Hondsmarkt ,2,2870,PUURS,
Gasthuisstraat,17,2520,RANST,
Kloosterstraat,4,2380,RAVELS,
Nederstraat,1,2470,RETIE,
Paenhuisstraat,13,3770,RIEMST,
Molenstraat,20,2310,RIJKEVORSEL,
De Munt,8,8800,ROESELARE,
Eugäne Soudan square,0,9600,RONSE,
BRUSSELSTRAAT,15,1760,PAMEL,
Provinciebaan,2,3110,ROTSELAAR,
Markt,5,2840,RUMST,
Lambermontlaan,224,1030,SCHAARBEEK,
Westelsebaan,134,3271,AVERBODE,
BRASSCHAATSEBAAN,30,2970,SCHILDE,
Gelmelenstraat,83,2900,SCHOTEN,
